feature_name,feature_type,correlation_with_target
eval_number_E_1868,bool,
eval_number_E_1869,bool,
eval_number_E_1870,bool,
eval_number_E_1871,bool,
eval_number_E_1873,bool,
eval_number_E_1875,bool,
eval_number_E_1876,bool,
eval_number_E_1878,bool,
eval_number_E_1880,bool,
eval_number_E_1881,bool,
eval_number_E_1882,bool,
eval_number_E_1883,bool,
eval_number_E_1885,bool,
eval_number_E_1886,bool,
eval_number_E_1888,bool,
eval_number_E_1890,bool,
eval_number_E_1892,bool,
eval_number_E_1893,bool,
eval_number_E_1898,bool,
eval_number_E_19,bool,
eval_number_E_190,bool,
eval_number_E_1900,bool,
eval_number_E_1903,bool,
eval_number_E_1905,bool,
eval_number_E_1907,bool,
eval_number_E_1908,bool,
eval_number_E_1909,bool,
eval_number_E_1911,bool,
eval_number_E_1912,bool,
eval_number_E_1915,bool,
eval_number_E_1916,bool,
eval_number_E_1918,bool,
eval_number_E_192,bool,
eval_number_E_1922,bool,
eval_number_E_1924,bool,
eval_number_E_1927,bool,
eval_number_E_1928,bool,
eval_number_E_1929,bool,
eval_number_E_193,bool,
eval_number_E_1931,bool,
eval_number_E_1932,bool,
eval_number_E_1933,bool,
eval_number_E_1934,bool,
eval_number_E_1935,bool,
eval_number_E_1936,bool,
eval_number_E_1937,bool,
eval_number_E_1938,bool,
eval_number_E_1939,bool,
eval_number_E_194,bool,
eval_number_E_1940,bool,
eval_number_E_1941,bool,
eval_number_E_1943,bool,
